ds,y
2007-12-12,15932.26
2007-12-13,15536.52
2007-12-14,15514.51
2007-12-17,15249.79
2007-12-18,15207.86
2007-12-19,15030.51
2007-12-20,15031.6
2007-12-21,15257
2007-12-25,15552.59
2007-12-26,15653.54
2007-12-27,15564.69
2007-12-28,15307.78
2008-01-04,14691.41
2008-01-07,14500.55
2008-01-08,14528.67
2008-01-09,14599.16
2008-01-10,14388.11
2008-01-11,14110.79
2008-01-15,13972.63
2008-01-16,13504.51
2008-01-17,13783.45
2008-01-18,13861.29
2008-01-21,13325.94
2008-01-22,12573.05
2008-01-23,12829.06
2008-01-24,13092.78
2008-01-25,13629.16
2008-01-28,13087.91
2008-01-29,13478.86
2008-01-30,13345.03
2008-01-31,13592.47
2008-02-01,13497.16
2008-02-04,13859.7
2008-02-05,13745.5
2008-02-06,13099.24
2008-02-07,13207.15
2008-02-08,13017.24
2008-02-12,13021.96
2008-02-13,13068.3
2008-02-14,13626.45
2008-02-15,13622.56
2008-02-18,13635.4
2008-02-19,13757.91
2008-02-20,13310.37
2008-02-21,13688.28
2008-02-22,13500.46
2008-02-25,13914.57
2008-02-26,13824.72
2008-02-27,14031.3
2008-02-28,13925.51
2008-02-29,13603.02
2008-03-03,12992.18
2008-03-04,12992.28
2008-03-05,12972.06
2008-03-06,13215.42
2008-03-07,12782.8
2008-03-10,12532.13
2008-03-11,12658.28
2008-03-12,12861.13
2008-03-13,12433.44
2008-03-14,12241.6
2008-03-17,11787.51
2008-03-18,11964.16
2008-03-19,12260.44
2008-03-21,12482.57
2008-03-24,12480.09
2008-03-25,12745.22
2008-03-26,12706.63
2008-03-27,12604.58
2008-03-28,12820.47
2008-03-31,12525.54
2008-04-01,12656.42
2008-04-02,13189.36
2008-04-03,13389.9
2008-04-04,13293.22
2008-04-07,13450.23
2008-04-08,13250.43
2008-04-09,13111.89
2008-04-10,12945.3
2008-04-11,13323.73
2008-04-14,12917.51
2008-04-15,12990.58
2008-04-16,13146.13
2008-04-17,13398.3
2008-04-18,13476.45
2008-04-21,13696.55
2008-04-22,13547.82
2008-04-23,13579.16
2008-04-24,13540.87
2008-04-25,13863.47
2008-04-28,13894.37
2008-04-30,13849.99
2008-05-01,13766.86
2008-05-02,14049.26
2008-05-07,14102.48
2008-05-08,13943.26
2008-05-09,13655.34
2008-05-12,13743.36
2008-05-13,13953.73
2008-05-14,14118.55
2008-05-15,14251.74
2008-05-16,14219.48
2008-05-19,14269.61
2008-05-20,14160.09
2008-05-21,13926.3
2008-05-22,13978.46
2008-05-23,14012.2
2008-05-26,13690.19
2008-05-27,13893.31
2008-05-28,13709.44
2008-05-29,14124.47
2008-05-30,14338.54
2008-06-02,14440.14
2008-06-03,14209.17
2008-06-04,14435.57
2008-06-05,14341.12
2008-06-06,14489.44
2008-06-09,14181.38
2008-06-10,14021.17
2008-06-11,14183.48
2008-06-12,13888.6
2008-06-13,13973.73
2008-06-16,14354.37
2008-06-17,14348.37
2008-06-18,14452.82
2008-06-19,14130.17
2008-06-20,13942.08
2008-06-23,13857.47
2008-06-24,13849.56
2008-06-25,13829.92
2008-06-26,13822.32
2008-06-27,13544.36
2008-06-30,13481.38
2008-07-01,13463.2
2008-07-02,13286.37
2008-07-03,13265.4
2008-07-04,13237.89
2008-07-07,13360.04
2008-07-08,13033.1
2008-07-09,13052.13
2008-07-10,13067.21
2008-07-11,13039.69
2008-07-14,13010.16
2008-07-15,12754.56
2008-07-16,12760.8
2008-07-17,12887.95
2008-07-18,12803.7
2008-07-22,13184.96
2008-07-23,13312.93
2008-07-24,13603.31
2008-07-25,13334.76
2008-07-28,13353.78
2008-07-29,13159.45
2008-07-30,13367.79
2008-07-31,13376.81
2008-08-01,13094.59
2008-08-04,12933.18
2008-08-05,12914.66
2008-08-06,13254.89
2008-08-07,13124.99
2008-08-08,13168.41
2008-08-11,13430.91
2008-08-12,13303.6
2008-08-13,13023.05
2008-08-14,12956.8
2008-08-15,13019.41
2008-08-18,13165.45
2008-08-19,12865.05
2008-08-20,12851.69
2008-08-21,12752.21
2008-08-22,12666.04
2008-08-25,12878.66
2008-08-26,12778.71
2008-08-27,12752.96
2008-08-28,12768.25
2008-08-29,13072.87
2008-09-01,12834.18
2008-09-02,12609.47
2008-09-03,12689.59
2008-09-04,12557.66
2008-09-05,12212.23
2008-09-08,12624.46
2008-09-09,12400.65
2008-09-10,12346.63
2008-09-11,12102.5
2008-09-12,12214.76
2008-09-16,11609.72
2008-09-17,11749.79
2008-09-18,11489.3
2008-09-19,11920.86
2008-09-22,12090.59
2008-09-24,12115.03
2008-09-25,12006.53
2008-09-26,11893.16
2008-09-29,11743.61
2008-09-30,11259.86
2008-10-01,11368.26
2008-10-02,11154.76
2008-10-03,10938.14
2008-10-06,10473.09
2008-10-07,10155.9
2008-10-08,9203.32
2008-10-09,9157.49
2008-10-10,8276.43
2008-10-14,9447.57
2008-10-15,9547.47
2008-10-16,8458.45
2008-10-17,8693.82
2008-10-20,9005.59
2008-10-21,9306.25
2008-10-22,8674.69
2008-10-23,8460.98
2008-10-24,7649.08
2008-10-27,7162.9
2008-10-28,7621.92
2008-10-29,8211.9
2008-10-30,9029.76
2008-10-31,8576.98
2008-11-04,9114.6
2008-11-05,9521.24
2008-11-06,8899.14
2008-11-07,8583
2008-11-10,9081.43
2008-11-11,8809.3
2008-11-12,8695.51
2008-11-13,8238.64
2008-11-14,8462.39
2008-11-17,8522.58
2008-11-18,8328.41
2008-11-19,8273.22
2008-11-20,7703.04
2008-11-21,7910.79
2008-11-25,8323.93
2008-11-26,8213.22
2008-11-27,8373.39
2008-11-28,8512.27
2008-12-01,8397.22
2008-12-02,7863.69
2008-12-03,8004.1
2008-12-04,7924.24
2008-12-05,7917.51
2008-12-08,8329.05
2008-12-09,8395.87
2008-12-10,8660.24
2008-12-11,8720.55
2008-12-12,8235.87
2008-12-15,8664.66
2008-12-16,8568.02
2008-12-17,8612.52
2008-12-18,8667.23
2008-12-19,8588.52
2008-12-22,8723.78
2008-12-24,8517.1
2008-12-25,8599.5
2008-12-26,8739.52
2008-12-29,8747.17
2008-12-30,8859.56
2009-01-05,9043.12
2009-01-06,9080.84
2009-01-07,9239.24
2009-01-08,8876.42
2009-01-09,8836.8
2009-01-13,8413.91
2009-01-14,8438.45
2009-01-15,8023.31
2009-01-16,8230.15
2009-01-19,8256.85
2009-01-20,8065.79
2009-01-21,7901.64
2009-01-22,8051.74
2009-01-23,7745.25
2009-01-26,7682.14
2009-01-27,8061.07
2009-01-28,8106.29
2009-01-29,8251.24
2009-01-30,7994.05
2009-02-02,7873.98
2009-02-03,7825.51
2009-02-04,8038.94
2009-02-05,7949.65
2009-02-06,8076.62
2009-02-09,7969.03
2009-02-10,7945.94
2009-02-12,7705.36
2009-02-13,7779.4
2009-02-16,7750.17
2009-02-17,7645.51
2009-02-18,7534.44
2009-02-19,7557.65
2009-02-20,7416.38
2009-02-23,7376.16
2009-02-24,7268.56
2009-02-25,7461.22
2009-02-26,7457.93
