iter	Passed	Remaining
404	7903	89675
405	7927	89704
406	7950	89716
407	7969	89697
408	7988	89669
409	8044	90058
410	8080	90222
411	8099	90193
412	8121	90202
413	8144	90215
414	8172	90292
415	8192	90271
416	8210	90240
417	8229	90207
418	8247	90168
419	8265	90131
420	8282	90082
421	8299	90035
422	8317	89995
423	8337	89977
424	8357	89962
425	8378	89958
426	8398	89939
427	8418	89923
428	8456	90108
429	8482	90152
430	8502	90130
431	8519	90089
432	8539	90068
433	8560	90067
434	8583	90075
435	8607	90107
436	8628	90091
437	8646	90057
438	8665	90027
439	8682	89986
440	8701	89959
441	8721	89935
442	8740	89915
443	8762	89918
444	8783	89911
445	8806	89925
446	8826	89906
447	8846	89887
448	8864	89849
449	8883	89817
450	8901	89786
451	8919	89750
452	8937	89713
453	8959	89714
454	8979	89697
455	9003	89714
456	9052	89992
457	9071	89957
458	9088	89915
459	9106	89879
460	9125	89847
461	9143	89815
462	9163	89793
463	9184	89785
464	9206	89787
465	9231	89822
466	9250	89793
467	9269	89768
468	9288	89734
469	9306	89701
470	9324	89663
471	9343	89633
472	9363	89611
473	9383	89598
474	9402	89574
475	9429	89617
476	9468	89779
477	9491	89795
478	9510	89764
479	9529	89732
480	9547	89695
481	9573	89732
482	9593	89721
483	9615	89714
484	9645	89794
485	9664	89768
486	9682	89723
487	9700	89687
488	9719	89665
489	9737	89628
490	9756	89597
491	9783	89645
492	9803	89620
493	9821	89585
494	9839	89553
495	9862	89560
496	9882	89542
497	9901	89515
498	9920	89484
499	9938	89443
500	9955	89402
501	9973	89367
502	9997	89383
503	10038	89548
504	10075	89681
505	10111	89801
506	10139	89857
507	10173	89960
508	10222	90193
509	10262	90346
510	10294	90432
511	10317	90442
512	10341	90457
513	10363	90447
514	10381	90411
515	10400	90378
516	10419	90350
517	10442	90350
518	10482	90507
519	10510	90551
520	10537	90594
521	10557	90569
522	10576	90538
523	10596	90511
524	10615	90482
525	10634	90455
526	10659	90473
527	10681	90471
528	10705	90483
529	10752	90686
530	10787	90789
531	10821	90886
532	10852	90954
533	10893	91102
534	10921	91149
535	10953	91227
536	10995	91382
537	11018	91380
538	11072	91643
539	11099	91673
540	11127	91714
541	11146	91682
542	11164	91643
543	11184	91617
544	11214	91667
545	11235	91657
546	11254	91619
547	11272	91578
548	11290	91541
549	11316	91558
550	11336	91536
551	11355	91504
552	11383	91538
553	11414	91605
554	11459	91781
555	11502	91934
556	11547	92114
557	11578	92168
558	11610	92237
559	11635	92252
560	11670	92346
561	11706	92446
562	11741	92535
563	11794	92764
564	11820	92784
565	11838	92741
566	11857	92704
567	11886	92751
568	11909	92741
569	11929	92718
570	11948	92681
571	11967	92647
572	11986	92610
573	12005	92575
574	12026	92555
575	12075	92746
576	12104	92786
577	12123	92754
578	12142	92711
579	12162	92687
580	12186	92688
581	12237	92898
582	12261	92894
583	12283	92884
584	12307	92887
585	12331	92889
586	12353	92869
587	12375	92858
588	12394	92825
589	12413	92789
590	12433	92753
591	12454	92732
592	12477	92730
593	12521	92881
594	12546	92888
595	12569	92876
596	12588	92843
597	12607	92809
598	12627	92774
599	12646	92742
600	12673	92762
601	12697	92763
