iter	Accuracy	Logloss
0	1	0.5985744118
1	1	0.5150205616
2	1	0.4431916516
3	1	0.3839566682
4	1	0.336656077
5	1	0.2907414635
6	1	0.2529464272
7	1	0.2160781998
8	1	0.1850673564
9	1	0.1619816928
10	1	0.1395260476
11	1	0.123244726
12	1	0.1088603892
13	1	0.09464438541
14	1	0.08257833476
15	1	0.07412233032
16	1	0.06509454986
17	1	0.05835023772
18	1	0.05158518453
19	1	0.04576403384
20	1	0.04073950364
21	1	0.03687498693
22	1	0.03360151885
23	1	0.03018366792
24	1	0.02719928137
25	1	0.02458551398
26	1	0.02228953126
27	1	0.02026680208
28	1	0.01847969652
29	1	0.01689633293
30	1	0.0154896286
31	1	0.01471975856
32	1	0.01387853984
33	1	0.01283542292
34	1	0.01186244794
35	1	0.01098843608
36	1	0.01041265388
37	1	0.009681960747
38	1	0.009086332636
39	1	0.008591186376
40	1	0.00803235116
41	1	0.007524097127
42	1	0.007060882521
43	1	0.006637860233
44	1	0.006250781245
45	1	0.005895912655
46	1	0.005590950824
47	1	0.005289347716
48	1	0.005081083815
49	1	0.004827886418
50	1	0.004585104279
51	1	0.004360325009
52	1	0.004154546463
53	1	0.003960771218
54	1	0.003780537733
55	1	0.003686710137
56	1	0.003525166856
57	1	0.003425846038
58	1	0.00328891643
59	1	0.003153451478
60	1	0.003031448924
61	1	0.002945526268
62	1	0.002904774199
63	1	0.00279319702
64	1	0.002688295173
65	1	0.002589555827
66	1	0.002554697564
67	1	0.002463644603
68	1	0.00237771746
69	1	0.002296542733
70	1	0.002219779545
71	1	0.002147116301
72	1	0.002101858692
73	1	0.002037153097
74	1	0.002007165512
75	1	0.00194547978
76	1	0.001886867515
77	1	0.001831127641
78	1	0.00177807497
79	1	0.001727538753
80	1	0.001679361381
81	1	0.001633397212
82	1	0.001589511523
83	1	0.001561381685
84	1	0.001534056976
85	1	0.001494550822
86	1	0.001456741393
87	1	0.001420531435
88	1	0.001397549077
89	1	0.001363794465
90	1	0.001331412458
91	1	0.001308842464
92	1	0.001290395302
93	1	0.001272909753
94	1	0.001251546857
95	1	0.001223581729
96	1	0.001205707089
97	1	0.001185782758
98	1	0.001160295295
99	1	0.001135745263
100	1	0.001113244637
101	1	0.001091913753
102	1	0.001069814285
103	1	0.00104848623
104	1	0.001030554607
105	1	0.00101057142
106	1	0.0009969009563
107	1	0.0009780444491
108	1	0.0009670060309
109	1	0.0009491293942
110	1	0.0009371127058
111	1	0.0009228694341
112	1	0.0009158520537
113	1	0.0008996055607
114	1	0.0008903057186
115	1	0.0008824829847
116	1	0.0008672672864
117	1	0.0008525129054
118	1	0.0008382005725
119	1	0.0008259174672
120	1	0.0008123886438
121	1	0.0008016365508
122	1	0.0007888078716
123	1	0.0007842527069
124	1	0.0007763110169
125	1	0.0007657293538
126	1	0.0007539089772
127	1	0.0007424133489
128	1	0.0007312300847
129	1	0.0007218506537
130	1	0.0007155224095
131	1	0.0007092116887
132	1	0.0006989108797
133	1	0.0006950539785
134	1	0.0006882056417
135	1	0.0006835870534
136	1	0.0006739473871
137	1	0.0006724306284
138	1	0.0006669037847
139	1	0.0006653885702
140	1	0.0006583916434
141	1	0.0006530652975
142	1	0.0006474014629
143	1	0.000642729169
144	1	0.0006351952163
145	1	0.0006267554242
146	1	0.0006185181831
147	1	0.0006134325393
148	1	0.0006078082204
149	1	0.000600147908
150	1	0.0005925358607
151	1	0.0005850989429
152	1	0.0005842155028
153	1	0.0005783340594
154	1	0.0005782961468
155	1	0.0005744503091
156	1	0.000567422766
157	1	0.0005632683936
158	1	0.0005564890598
159	1	0.0005516175184
160	1	0.000547739053
161	1	0.0005412982049
162	1	0.0005392753058
163	1	0.0005390064869
164	1	0.0005340658232
165	1	0.0005312743508
166	1	0.0005251842841
167	1	0.0005212177603
168	1	0.000515338077
169	1	0.0005095799098
170	1	0.0005068507042
171	1	0.0005034385963
172	1	0.0004982236089
173	1	0.0004949210166
174	1	0.0004895764551
175	1	0.0004869678018
176	1	0.0004817808038
177	1	0.0004766954874
178	1	0.0004735218225
179	1	0.0004703156466
180	1	0.0004692285976
181	1	0.0004643857798
182	1	0.0004596351689
183	1	0.000457182454
184	1	0.0004525675577
185	1	0.0004486275604
186	1	0.0004441716726
187	1	0.0004397976626
188	1	0.0004372853066
189	1	0.0004345945846
190	1	0.0004319876347
191	1	0.000428602325
192	1	0.0004245092578
193	1	0.0004205765381
194	1	0.0004174965767
195	1	0.0004135989885
196	1	0.0004112643023
197	1	0.0004074745449
198	1	0.0004037497364
199	1	0.0004000882875
200	1	0.0003964886592
201	1	0.00039294936
202	1	0.000390058726
203	1	0.0003866261069
204	1	0.0003854285843
205	1	0.0003839177363
206	1	0.000382765314
207	1	0.0003810551707
208	1	0.0003777694502
209	1	0.0003745366534
210	1	0.0003715575351
211	1	0.0003702238814
212	1	0.0003675917863
213	1	0.0003645204596
214	1	0.0003616819113
215	1	0.000358702706
216	1	0.0003563794467
217	1	0.000353762042
218	1	0.0003522458365
219	1	0.000349411164
220	1	0.0003466365088
221	1	0.0003438862424
222	1	0.0003411769486
223	1	0.0003388017076
224	1	0.0003370705355
225	1	0.0003350741483
226	1	0.0003324942778
227	1	0.0003299517702
228	1	0.0003274458474
229	1	0.0003264807083
230	1	0.0003240243483
231	1	0.0003234523018
232	1	0.0003210388036
233	1	0.0003186592408
234	1	0.0003174049845
235	1	0.0003164619357
236	1	0.0003141461543
237	1	0.0003132100589
238	1	0.0003113680258
239	1	0.0003091222413
240	1	0.0003076804668
241	1	0.0003054847821
242	1	0.0003047646354
243	1	0.0003044451769
244	1	0.0003022930402
245	1	0.0003005934508
246	1	0.0002984926417
247	1	0.0002982988035
248	1	0.0002962283138
249	1	0.000294185013
250	1	0.0002921683855
251	1	0.0002918778789
252	1	0.0002898911736
253	1	0.0002879300782
254	1	0.0002868884722
255	1	0.0002865072564
256	1	0.000284954329
257	1	0.0002843753011
258	1	0.0002837276691
259	1	0.0002818450827
260	1	0.0002799861837
261	1	0.0002784386023
262	1	0.0002780922676
263	1	0.0002764579438
264	1	0.000274666104
265	1	0.0002738869929
266	1	0.0002736123959
267	1	0.0002734327075
268	1	0.0002716780153
269	1	0.0002699607982
270	1	0.0002682483105
271	1	0.0002669640328
272	1	0.0002659691615
273	1	0.0002659462871
274	1	0.0002642819997
275	1	0.0002639613967
276	1	0.0002635296937
277	1	0.0002632147826
278	1	0.0002627125498
279	1	0.000261211185
280	1	0.0002608152802
281	1	0.0002603867402
282	1	0.0002601558801
283	1	0.0002596937269
284	1	0.0002585947178
285	1	0.0002574872676
286	1	0.0002564878915
287	1	0.0002562980414
288	1	0.00025612797
289	1	0.0002548153892
290	1	0.0002544530904
291	1	0.0002542481342
292	1	0.0002533923469
293	1	0.0002532233649
294	1	0.000251949256
295	1	0.0002510404379
296	1	0.0002499124276
297	1	0.0002496004674
298	1	0.0002493884712
299	1	0.0002485783829
300	1	0.0002477810361
301	1	0.0002466713528
302	1	0.0002458448247
303	1	0.0002454855807
304	1	0.0002449892369
